Jaccard(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.460460,119216.321889,0.628719,0.318381,0.460460,0.783092,0.427820,0.559868
0.460563,119295.826855,0.628977,0.318478,0.460563,0.783372,0.427925,0.559976
0.460339,118974.649163,0.628093,0.318272,0.460339,0.782447,0.427716,0.559748
0.460383,118964.253329,0.628094,0.318318,0.460383,0.782451,0.427771,0.559796
0.460423,119110.275251,0.628514,0.318346,0.460423,0.782904,0.427786,0.559826
0.460376,119013.648019,0.628229,0.318308,0.460376,0.782595,0.427753,0.559784
0.460329,118960.103577,0.628054,0.318263,0.460329,0.782405,0.427707,0.559737
0.460501,119218.572067,0.628747,0.318422,0.460501,0.783125,0.427868,0.559914
0.460248,118907.645235,0.627881,0.318187,0.460248,0.782215,0.427623,0.559653
0.460248,118907.645235,0.627881,0.318187,0.460248,0.782215,0.427623,0.559653
0.460437,119188.843848,0.628641,0.318360,0.460437,0.783007,0.427800,0.559846
0.460293,118918.433220,0.627925,0.318231,0.460293,0.782265,0.427674,0.559702
0.460378,119013.731773,0.628234,0.318309,0.460378,0.782601,0.427755,0.559786
0.460536,119262.581895,0.628877,0.318453,0.460536,0.783265,0.427901,0.559949
0.460384,119021.710973,0.628253,0.318315,0.460384,0.782621,0.427759,0.559792
0.460421,119107.730805,0.628509,0.318344,0.460421,0.782901,0.427785,0.559824
0.460290,119179.173246,0.628313,0.318225,0.460290,0.782423,0.427684,0.559778
0.460489,119205.577925,0.628705,0.318411,0.460489,0.783079,0.427857,0.559902
0.460279,118948.458284,0.627998,0.318215,0.460279,0.782342,0.427651,0.559684
0.460625,119266.904409,0.628927,0.318543,0.460625,0.783323,0.428006,0.560047
0.460526,119286.784907,0.628959,0.318442,0.460526,0.783357,0.427883,0.559934
0.460253,119026.571285,0.627980,0.318194,0.460253,0.782101,0.427660,0.559740
0.460290,119179.174245,0.628313,0.318225,0.460290,0.782423,0.427684,0.559778
0.460201,118975.828861,0.627798,0.318145,0.460201,0.781897,0.427609,0.559689
0.460292,118917.770189,0.627921,0.318230,0.460292,0.782260,0.427673,0.559701
0.460306,118933.588836,0.627971,0.318242,0.460306,0.782314,0.427686,0.559715
