Soersen(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.089021,5826.981605,0.183599,0.089021,0.157016,0.485579,0.210660,0.334310
0.089068,5830.832976,0.183774,0.089068,0.157098,0.486046,0.210677,0.334340
0.089348,5849.085651,0.183322,0.089348,0.157319,0.481587,0.211377,0.335120
0.089380,5853.048614,0.183902,0.089380,0.157458,0.484266,0.211282,0.335035
0.089439,5857.820152,0.184443,0.089439,0.157628,0.486737,0.211327,0.335129
0.089473,5860.459116,0.184724,0.089473,0.157721,0.488002,0.211366,0.335196
0.089492,5861.826447,0.184866,0.089492,0.157769,0.488641,0.211388,0.335233
0.089502,5862.557427,0.184938,0.089502,0.157794,0.488965,0.211401,0.335254
0.089507,5862.905563,0.184974,0.089507,0.157806,0.489126,0.211407,0.335264
0.088446,5782.687445,0.182291,0.088446,0.156149,0.482635,0.209554,0.332964
0.088446,5782.687502,0.182291,0.088446,0.156149,0.482635,0.209554,0.332964
0.088446,5782.687423,0.182291,0.088446,0.156149,0.482635,0.209554,0.332964
0.088446,5782.687493,0.182291,0.088446,0.156149,0.482635,0.209554,0.332964
0.088446,5782.687414,0.182291,0.088446,0.156149,0.482635,0.209554,0.332964
0.088316,5728.595063,0.176586,0.088316,0.155131,0.458435,0.212466,0.336372
0.089492,5861.820064,0.184904,0.089492,0.157777,0.488861,0.211393,0.335242
0.089501,5862.468310,0.184949,0.089501,0.157795,0.489035,0.211402,0.335256
0.089505,5862.774079,0.184970,0.089505,0.157804,0.489121,0.211406,0.335263
0.089492,5861.838762,0.184867,0.089492,0.157769,0.488647,0.211388,0.335234
0.089501,5862.476669,0.184930,0.089501,0.157791,0.488928,0.211400,0.335252
0.089505,5862.778055,0.184961,0.089505,0.157802,0.489067,0.211405,0.335261
0.089507,5862.928890,0.184977,0.089507,0.157807,0.489137,0.211408,0.335265
0.088445,5782.623394,0.182284,0.088445,0.156147,0.482601,0.209553,0.332962
0.088445,5782.623452,0.182284,0.088445,0.156147,0.482601,0.209553,0.332962
0.088445,5782.623373,0.182284,0.088445,0.156147,0.482601,0.209553,0.332962
0.088445,5782.623442,0.182284,0.088445,0.156147,0.482601,0.209553,0.332962
0.088445,5782.623363,0.182284,0.088445,0.156147,0.482601,0.209553,0.332962
0.088329,5728.854183,0.176562,0.088329,0.155144,0.458289,0.212531,0.336449
0.089501,5862.468745,0.184946,0.089501,0.157795,0.489021,0.211401,0.335255
0.089504,5862.736553,0.184965,0.089504,0.157802,0.489096,0.211405,0.335261
0.089506,5862.870450,0.184975,0.089506,0.157806,0.489134,0.211407,0.335264
0.089501,5862.478747,0.184930,0.089501,0.157791,0.488929,0.211400,0.335252
0.089504,5862.741400,0.184957,0.089504,0.157801,0.489050,0.211404,0.335260
0.089506,5862.872833,0.184971,0.089506,0.157805,0.489111,0.211407,0.335263
0.089507,5862.938577,0.184978,0.089507,0.157807,0.489141,0.211408,0.335265
0.089507,5862.971455,0.184981,0.089507,0.157809,0.489156,0.211408,0.335266
0.088445,5782.609440,0.182282,0.088445,0.156146,0.482593,0.209553,0.332961
0.088445,5782.609497,0.182282,0.088445,0.156146,0.482593,0.209553,0.332961
0.088445,5782.609418,0.182282,0.088445,0.156146,0.482593,0.209553,0.332961
0.088445,5782.609488,0.182282,0.088445,0.156146,0.482593,0.209553,0.332961
0.088445,5782.609409,0.182282,0.088445,0.156146,0.482593,0.209553,0.332961
0.088333,5727.424136,0.176464,0.088333,0.155136,0.457901,0.212614,0.336548
0.089506,5862.871183,0.184974,0.089506,0.157806,0.489131,0.211407,0.335264
0.089507,5862.929540,0.184979,0.089507,0.157808,0.489147,0.211408,0.335265
0.089507,5862.958718,0.184981,0.089507,0.157808,0.489156,0.211408,0.335266
0.089506,5862.872601,0.184971,0.089506,0.157805,0.489111,0.211407,0.335263
0.089507,5862.930234,0.184977,0.089507,0.157807,0.489137,0.211408,0.335265
0.089507,5862.959056,0.184980,0.089507,0.157808,0.489151,0.211408,0.335266
