Soersen(OptIndex), CostArea, SDI, Soersen, Jaccard, SDI_a, Soersen_a, Jaccard_a
0.064626,35875.597689,0.128801,0.064626,0.117809,0.298450,0.147492,0.241155
0.064825,35994.590973,0.129164,0.064825,0.118136,0.299109,0.147948,0.241782
0.064197,35662.184349,0.127947,0.064197,0.117090,0.296219,0.146376,0.239695
0.064175,35650.507490,0.127907,0.064175,0.117053,0.296129,0.146277,0.239569
0.095477,47633.199956,0.166043,0.095477,0.165821,0.370263,0.255518,0.369140
0.064237,35567.195099,0.127827,0.064237,0.117166,0.296584,0.146988,0.240441
0.064185,35666.154142,0.127976,0.064185,0.117071,0.296326,0.146319,0.239610
0.063609,35317.926317,0.126882,0.063609,0.116120,0.294250,0.145172,0.238004
0.064232,35701.222062,0.128086,0.064232,0.117149,0.296538,0.146394,0.239715
0.064275,35717.639141,0.128146,0.064275,0.117220,0.296681,0.146456,0.239808
0.064079,35477.194209,0.127538,0.064079,0.116905,0.296016,0.146659,0.239983
0.063970,35518.636610,0.127513,0.063970,0.116717,0.295448,0.145945,0.239087
0.055630,30273.751592,0.106878,0.055630,0.102504,0.242373,0.130894,0.218822
0.055723,30336.671792,0.107075,0.055723,0.102659,0.242748,0.131059,0.219052
0.055860,30386.315455,0.107287,0.055860,0.102896,0.243338,0.131514,0.219687
0.055645,30276.949374,0.106911,0.055645,0.102534,0.242514,0.130977,0.218936
0.055634,30276.094085,0.106885,0.055634,0.102511,0.242387,0.130903,0.218835
0.057776,31647.697726,0.111961,0.057776,0.106175,0.254593,0.134839,0.224292
0.057716,31462.689942,0.111379,0.057716,0.106079,0.253482,0.135443,0.225123
0.056065,30583.943712,0.107998,0.056065,0.103244,0.244990,0.131381,0.219503
0.056853,31001.063213,0.109446,0.056853,0.104576,0.248199,0.133373,0.222276
0.057563,31531.402719,0.111596,0.057563,0.105821,0.253896,0.134370,0.223637
0.057960,31634.185091,0.111891,0.057960,0.106479,0.254367,0.135848,0.225689
0.056137,30631.344464,0.108144,0.056137,0.103364,0.245254,0.131515,0.219690
0.056785,30963.342359,0.109325,0.056785,0.104464,0.247963,0.133228,0.222073
0.055888,30398.889838,0.107406,0.055888,0.102956,0.243830,0.131627,0.219840
0.055735,30296.006787,0.107075,0.055735,0.102699,0.243173,0.131365,0.219474
0.055978,30464.932061,0.107544,0.055978,0.103093,0.243859,0.131722,0.219977
0.055642,30281.566765,0.106907,0.055642,0.102525,0.242445,0.130916,0.218853
0.055756,30349.373747,0.107141,0.055756,0.102718,0.242961,0.131177,0.219216
0.055737,30344.277673,0.107100,0.055737,0.102681,0.242800,0.131087,0.219092
0.055861,30387.006757,0.107290,0.055861,0.102898,0.243346,0.131516,0.219689
0.055635,30276.543978,0.106887,0.055635,0.102512,0.242391,0.130905,0.218837
0.055732,30341.361900,0.107090,0.055732,0.102673,0.242777,0.131077,0.219078
0.055888,30421.722226,0.107366,0.055888,0.102938,0.243379,0.131469,0.219625
0.055725,30335.382616,0.107094,0.055725,0.102666,0.242863,0.131101,0.219110
0.055791,30362.309348,0.107155,0.055791,0.102772,0.242899,0.131247,0.219316
0.055633,30275.491183,0.106883,0.055633,0.102509,0.242383,0.130901,0.218831
0.055802,30379.666606,0.107210,0.055802,0.102790,0.243005,0.131231,0.219293
0.056755,30876.312351,0.108873,0.056755,0.104390,0.246508,0.133537,0.222505
0.055723,30324.748201,0.107037,0.055723,0.102658,0.242675,0.131096,0.219105
0.055704,30320.884808,0.107049,0.055704,0.102632,0.242779,0.131067,0.219063
0.055725,30337.510706,0.107078,0.055725,0.102662,0.242753,0.131062,0.219057
0.055594,30248.613123,0.106822,0.055594,0.102449,0.242347,0.130865,0.218780
0.055849,30380.804906,0.107270,0.055849,0.102879,0.243306,0.131492,0.219656
0.055734,30342.853619,0.107095,0.055734,0.102678,0.242785,0.131083,0.219087
0.055631,30274.592747,0.106880,0.055631,0.102506,0.242378,0.130897,0.218826
0.055877,30420.769874,0.107340,0.055877,0.102915,0.243253,0.131397,0.219525
0.080453,46125.851725,0.169451,0.080453,0.143442,0.403865,0.175033,0.274988
0.056067,30511.693455,0.107681,0.056067,0.103241,0.244087,0.131929,0.220267
0.055219,30043.093220,0.106177,0.055219,0.101824,0.241120,0.130045,0.217627
0.055623,30269.979466,0.106866,0.055623,0.102492,0.242350,0.130879,0.218801
0.055873,30382.757284,0.107323,0.055873,0.102927,0.243562,0.131641,0.219861
0.055946,30445.365828,0.107473,0.055946,0.103039,0.243691,0.131663,0.219895
0.055631,30274.459906,0.106880,0.055631,0.102506,0.242377,0.130897,0.218826
0.079762,45644.787777,0.167160,0.079762,0.142393,0.396914,0.173978,0.274052
0.053440,28767.934034,0.100912,0.053440,0.098661,0.226919,0.127611,0.214187
0.054182,29367.779358,0.102988,0.054182,0.099921,0.231504,0.128157,0.214947
0.054861,29802.563966,0.104987,0.054861,0.101160,0.237413,0.129382,0.216705
0.055735,30342.986231,0.107095,0.055735,0.102678,0.242786,0.131084,0.219088
0.055634,30276.226578,0.106885,0.055634,0.102511,0.242388,0.130904,0.218836
0.055731,30341.218996,0.107089,0.055731,0.102673,0.242775,0.131077,0.219078
0.055962,30442.586238,0.107464,0.055962,0.103067,0.243674,0.131739,0.220002
0.055963,30432.137083,0.107478,0.055963,0.103076,0.243855,0.131837,0.220136
0.055734,30342.853711,0.107095,0.055734,0.102678,0.242785,0.131083,0.219087
0.055959,30440.929937,0.107459,0.055959,0.103062,0.243664,0.131733,0.219993
0.055557,30239.878953,0.106795,0.055557,0.102386,0.242295,0.130744,0.218609
0.055305,30101.718172,0.106361,0.055305,0.101967,0.241470,0.130193,0.217835
