SDI_a(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.538896,452676.434593,0.527834,0.434710,0.465075,0.538896,0.449923,0.473641
0.501585,421334.478399,0.491289,0.435785,0.465689,0.501585,0.452254,0.474930
0.484652,407110.970716,0.474704,0.438272,0.467105,0.484652,0.455539,0.476735
0.484641,407101.555742,0.474693,0.438272,0.467105,0.484641,0.455539,0.476735
0.484643,407102.857582,0.474694,0.438258,0.467097,0.484643,0.455524,0.476727
0.484652,407110.971048,0.474704,0.438272,0.467105,0.484652,0.455539,0.476735
0.484652,407110.970708,0.474704,0.438272,0.467105,0.484652,0.455539,0.476735
0.484652,407110.971152,0.474704,0.438272,0.467105,0.484652,0.455539,0.476735
0.485147,407526.629491,0.475188,0.438327,0.467137,0.485147,0.455580,0.476758
0.484652,407110.970967,0.474704,0.438272,0.467105,0.484652,0.455539,0.476735
0.511176,429390.927769,0.500683,0.431746,0.463373,0.511176,0.447592,0.472347
0.485006,407407.972157,0.475050,0.438103,0.467010,0.485006,0.455343,0.476628
0.484852,407278.962490,0.474899,0.438198,0.467063,0.484852,0.455451,0.476687
0.484744,407187.792529,0.474793,0.438205,0.467067,0.484744,0.455463,0.476693
0.481378,404360.238309,0.471496,0.440863,0.468573,0.481378,0.458462,0.478331
0.481378,404360.197180,0.471496,0.440863,0.468573,0.481378,0.458462,0.478331
0.481378,404360.276207,0.471496,0.440863,0.468573,0.481378,0.458462,0.478331
0.481378,404360.238388,0.471496,0.440863,0.468573,0.481378,0.458462,0.478331
0.481378,404360.238307,0.471496,0.440863,0.468573,0.481378,0.458462,0.478331
0.481377,404360.074584,0.471496,0.440863,0.468573,0.481377,0.458463,0.478331
0.481378,404360.239869,0.471496,0.440863,0.468573,0.481378,0.458462,0.478331
0.481378,404360.238364,0.471496,0.440863,0.468573,0.481378,0.458462,0.478331
0.499903,419921.735138,0.489641,0.479703,0.489641,0.499903,0.499806,0.499903
0.481174,404189.211367,0.471297,0.441740,0.469068,0.481174,0.459418,0.478851
0.481307,404300.909326,0.471427,0.441330,0.468837,0.481307,0.458970,0.478607
0.481289,404285.419437,0.471409,0.441047,0.468677,0.481289,0.458664,0.478441
0.481289,404285.404180,0.471409,0.441047,0.468677,0.481289,0.458664,0.478441
0.481271,404270.674466,0.471392,0.441040,0.468673,0.481271,0.458658,0.478438
0.481289,404285.419497,0.471409,0.441047,0.468677,0.481289,0.458664,0.478441
0.481289,404285.419431,0.471409,0.441047,0.468677,0.481289,0.458664,0.478441
0.481289,404285.419607,0.471409,0.441047,0.468677,0.481289,0.458664,0.478441
0.481289,404285.459516,0.471409,0.441047,0.468677,0.481289,0.458664,0.478441
0.481289,404285.419472,0.471409,0.441047,0.468677,0.481289,0.458664,0.478441
2.908496,2443155.207274,2.848792,0.475818,0.487609,2.908496,0.479103,0.489328
1.118555,939593.517585,1.095594,0.448198,0.472684,1.118555,0.455854,0.476908
0.709321,595833.966254,0.694760,0.436360,0.466017,0.709321,0.447910,0.472524
0.577399,485018.812633,0.565546,0.433359,0.464301,0.577399,0.447435,0.472259
0.481279,404277.327873,0.471399,0.441005,0.468653,0.481279,0.458620,0.478417
0.481283,404280.887986,0.471404,0.441013,0.468658,0.481283,0.458628,0.478421
0.481279,404277.129551,0.471399,0.441004,0.468653,0.481279,0.458618,0.478416
0.481279,404277.327932,0.471399,0.441005,0.468653,0.481279,0.458620,0.478417
0.481279,404277.327873,0.471399,0.441005,0.468653,0.481279,0.458620,0.478417
0.481279,404277.328047,0.471399,0.441005,0.468653,0.481279,0.458620,0.478417
0.481279,404277.329349,0.471399,0.441005,0.468653,0.481279,0.458620,0.478417
0.481279,404277.327913,0.471399,0.441005,0.468653,0.481279,0.458620,0.478417
4.485990,3768259.801445,4.393904,0.485393,0.492588,4.485990,0.487604,0.493724
0.481772,404691.811875,0.471883,0.439302,0.467690,0.481772,0.456760,0.477403
0.481772,404691.777853,0.471883,0.439303,0.467690,0.481772,0.456760,0.477403
0.481772,404691.860549,0.471883,0.439302,0.467690,0.481772,0.456760,0.477403
0.481772,404691.812054,0.471883,0.439302,0.467690,0.481772,0.456760,0.477403
0.481772,404691.811870,0.471883,0.439302,0.467690,0.481772,0.456760,0.477403
0.481772,404691.812176,0.471883,0.439302,0.467690,0.481772,0.456760,0.477403
0.481772,404691.813538,0.471883,0.439302,0.467690,0.481772,0.456760,0.477403
0.481772,404691.812011,0.471883,0.439302,0.467690,0.481772,0.456760,0.477403
0.481778,404696.328069,0.471888,0.439244,0.467657,0.481778,0.456697,0.477368
0.481778,404696.140821,0.471888,0.439245,0.467657,0.481778,0.456698,0.477369
0.481778,404696.428900,0.471888,0.439244,0.467657,0.481778,0.456697,0.477368
0.482000,404883.245087,0.472106,0.439480,0.467791,0.482000,0.456943,0.477503
0.481778,404696.191012,0.471888,0.439245,0.467657,0.481778,0.456697,0.477369
0.481778,404696.328368,0.471888,0.439244,0.467657,0.481778,0.456697,0.477368
0.481778,404696.192682,0.471888,0.439245,0.467657,0.481778,0.456697,0.477369
0.481778,404696.328209,0.471888,0.439244,0.467657,0.481778,0.456697,0.477368
0.487668,409643.883918,0.477657,0.437147,0.466466,0.487668,0.454213,0.476008
0.484189,406721.566245,0.474250,0.438056,0.466983,0.484189,0.455323,0.476617
0.482871,405614.956926,0.472959,0.438627,0.467307,0.482871,0.455988,0.476981
0.482464,405272.685499,0.472560,0.438934,0.467481,0.482464,0.456336,0.477171
0.481776,404694.615199,0.471886,0.439282,0.467678,0.481776,0.456737,0.477391
0.481783,404700.686411,0.471893,0.439261,0.467667,0.481783,0.456715,0.477378
0.481772,404691.450745,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.351862,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.377580,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.450918,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.450738,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.451040,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.452404,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.450879,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.486540,408697.006139,0.476553,0.437498,0.466666,0.486540,0.454634,0.476239
0.481813,404725.806500,0.471922,0.439203,0.467633,0.481813,0.456651,0.477343
0.481802,404716.358463,0.471911,0.439241,0.467655,0.481802,0.456692,0.477366
0.481787,404704.158532,0.471897,0.439239,0.467654,0.481787,0.456691,0.477365
0.481773,404692.353223,0.471883,0.439269,0.467671,0.481773,0.456724,0.477383
0.481772,404691.500612,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481782,404700.289423,0.471893,0.439263,0.467668,0.481782,0.456717,0.477380
0.481773,404692.205463,0.471883,0.439269,0.467671,0.481773,0.456724,0.477383
0.481783,404700.390629,0.471893,0.439263,0.467668,0.481783,0.456717,0.477379
0.481783,404700.390445,0.471893,0.439263,0.467668,0.481783,0.456717,0.477379
0.481772,404691.500909,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.502270,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.500746,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
1.431305,1202304.826471,1.401923,0.470541,0.484823,1.431305,0.477115,0.488290
0.481778,404696.962583,0.471889,0.439242,0.467656,0.481778,0.456695,0.477367
0.481773,404692.519853,0.471884,0.439266,0.467670,0.481773,0.456721,0.477382
0.481773,404692.261472,0.471883,0.439269,0.467671,0.481773,0.456724,0.477383
0.481772,404691.724693,0.471883,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.518853,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.419978,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481773,404692.223708,0.471883,0.439269,0.467671,0.481773,0.456724,0.477383
0.481772,404691.519033,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.518848,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.519153,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.520515,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.518989,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.499908,419925.592261,0.489646,0.479712,0.489646,0.499908,0.499815,0.499908
0.481772,404691.382234,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481771,404691.027020,0.471882,0.439267,0.467670,0.481771,0.456722,0.477382
0.481772,404691.437367,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481772,404691.463094,0.471882,0.439268,0.467671,0.481772,0.456723,0.477383
0.481771,404691.027195,0.471882,0.439267,0.467670,0.481771,0.456722,0.477382
0.481774,404693.611348,0.471885,0.439253,0.467662,0.481774,0.456706,0.477373
0.481771,404691.027318,0.471882,0.439267,0.467670,0.481771,0.456722,0.477382
0.481771,404691.028680,0.471882,0.439267,0.467670,0.481771,0.456722,0.477382
0.481771,404691.027156,0.471882,0.439267,0.467670,0.481771,0.456722,0.477382
0.481447,404418.469734,0.471564,0.440057,0.468118,0.481447,0.457588,0.477855
0.481443,404414.947901,0.471560,0.440057,0.468117,0.481443,0.457588,0.477855
0.481447,404418.523630,0.471564,0.440057,0.468117,0.481447,0.457588,0.477855
0.481447,404418.469833,0.471564,0.440057,0.468118,0.481447,0.457588,0.477855
0.481447,404418.469732,0.471564,0.440057,0.468118,0.481447,0.457588,0.477855
0.481447,404418.469950,0.471564,0.440057,0.468118,0.481447,0.457588,0.477855
0.481447,404418.471342,0.471564,0.440057,0.468118,0.481447,0.457588,0.477855
0.481447,404418.469801,0.471564,0.440057,0.468118,0.481447,0.457588,0.477855
0.481220,404227.578753,0.471341,0.441954,0.469189,0.481220,0.459649,0.478976
0.481286,404283.375089,0.471407,0.441023,0.468663,0.481286,0.458639,0.478427
0.481356,404342.333177,0.471475,0.440547,0.468395,0.481356,0.458122,0.478146
0.481366,404350.393919,0.471485,0.440286,0.468247,0.481366,0.457839,0.477992
0.481367,404351.229277,0.471486,0.440288,0.468248,0.481367,0.457841,0.477993
0.481367,404351.251223,0.471486,0.440288,0.468248,0.481367,0.457841,0.477992
0.481366,404350.872163,0.471485,0.440288,0.468248,0.481366,0.457840,0.477992
0.481367,404351.206955,0.471486,0.440288,0.468248,0.481367,0.457841,0.477993
0.481367,404351.207161,0.471486,0.440288,0.468248,0.481367,0.457841,0.477993
0.481367,404351.208530,0.471486,0.440288,0.468248,0.481367,0.457841,0.477993
0.481367,404351.207016,0.471486,0.440288,0.468248,0.481367,0.457841,0.477993
0.499905,419923.215323,0.489643,0.479706,0.489643,0.499905,0.499810,0.499905
0.488053,409967.180403,0.478034,0.457917,0.478034,0.488053,0.476663,0.488053
0.483009,405730.791732,0.473094,0.448776,0.473005,0.483009,0.466962,0.482916
0.481364,404348.496153,0.471482,0.444338,0.470529,0.481364,0.462222,0.480370
0.481296,404291.379953,0.471416,0.440728,0.468497,0.481296,0.458320,0.478254
0.481400,404379.208109,0.471518,0.440515,0.468376,0.481400,0.458085,0.478125
0.481466,404434.125125,0.471582,0.440391,0.468307,0.481466,0.457949,0.478052
0.481365,404349.662021,0.471484,0.440289,0.468249,0.481365,0.457842,0.477993
0.481363,404347.658375,0.471481,0.440283,0.468245,0.481363,0.457836,0.477990
0.481367,404350.915920,0.471485,0.440290,0.468249,0.481367,0.457843,0.477994
0.481363,404347.737674,0.471482,0.440282,0.468245,0.481363,0.457835,0.477989
0.481362,404347.449520,0.471481,0.440283,0.468245,0.481362,0.457836,0.477990
0.481363,404347.658375,0.471481,0.440283,0.468245,0.481363,0.457836,0.477990
0.481363,404347.693680,0.471482,0.440283,0.468245,0.481363,0.457835,0.477990
0.481363,404347.659943,0.471481,0.440283,0.468245,0.481363,0.457836,0.477990
0.481363,404347.698934,0.471482,0.440283,0.468245,0.481363,0.457835,0.477990
0.768034,645153.252632,0.752268,0.437039,0.466404,0.768034,0.447717,0.472417
0.481376,404358.455708,0.471494,0.440265,0.468235,0.481376,0.457816,0.477979
0.481377,404359.412644,0.471495,0.440275,0.468241,0.481377,0.457826,0.477985
