SDI(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
0.318729,273345.594825,0.318729,0.225640,0.310953,0.325409,0.232394,0.317307
0.320394,274773.085847,0.320394,0.227520,0.312734,0.327108,0.234353,0.319128
0.318621,273252.574069,0.318621,0.225391,0.310716,0.325298,0.232132,0.317063
0.319073,273640.109980,0.319073,0.225825,0.311129,0.325760,0.232583,0.317484
0.318810,273414.729182,0.318810,0.225683,0.310994,0.325491,0.232438,0.317348
0.318604,273238.469189,0.318604,0.225513,0.310833,0.325281,0.232263,0.317185
0.318729,273345.481247,0.318729,0.225640,0.310953,0.325409,0.232394,0.317307
0.488274,418749.360615,0.488274,0.477086,0.488274,0.498507,0.497024,0.498507
0.319233,273778.107354,0.319233,0.226075,0.311366,0.325924,0.232845,0.317727
0.319024,273598.336765,0.319024,0.225954,0.311251,0.325710,0.232721,0.317612
0.318728,273344.623676,0.318728,0.225471,0.310793,0.325408,0.232215,0.317141
0.318728,273344.623676,0.318728,0.225471,0.310793,0.325408,0.232215,0.317141
0.318650,273277.633595,0.318650,0.225558,0.310875,0.325328,0.232309,0.317228
0.318611,273244.206119,0.318611,0.225520,0.310839,0.325288,0.232269,0.317191
0.318605,273239.529537,0.318605,0.225528,0.310847,0.325283,0.232279,0.317200
0.318596,273231.798012,0.318596,0.225541,0.310859,0.325274,0.232293,0.317213
0.319023,273597.382408,0.319023,0.225953,0.311250,0.325709,0.232720,0.317611
0.318595,273230.136526,0.318595,0.225548,0.310865,0.325272,0.232299,0.317219
1.379229,1182842.147061,1.379229,0.345465,0.408609,1.408135,0.349054,0.411110
0.444129,380889.545134,0.444129,0.399435,0.444096,0.453437,0.414749,0.453402
0.320241,274642.418643,0.320241,0.222389,0.307853,0.326953,0.228916,0.314050
0.320241,274642.418643,0.320241,0.222389,0.307853,0.326953,0.228916,0.314050
0.320240,274641.095352,0.320240,0.222389,0.307852,0.326951,0.228915,0.314049
0.320373,274755.571331,0.320373,0.222634,0.308087,0.327088,0.229173,0.314291
0.320240,274641.081583,0.320240,0.222389,0.307852,0.326951,0.228915,0.314049
0.320839,275154.627701,0.320839,0.222881,0.308323,0.327563,0.229424,0.314528
0.320658,274999.732906,0.320658,0.222652,0.308104,0.327378,0.229185,0.314303
0.320841,275157.109861,0.320841,0.222882,0.308325,0.327566,0.229426,0.314529
0.474763,407161.991589,0.474763,0.451951,0.474763,0.484713,0.470333,0.484713
0.428128,367167.284129,0.428128,0.360223,0.418755,0.437101,0.373112,0.427335
0.389169,333755.178215,0.389169,0.299415,0.374543,0.397325,0.309181,0.382092
0.358263,307250.462083,0.358263,0.261899,0.343745,0.365772,0.270003,0.350652
2.285956,1960460.560562,2.285956,0.347837,0.410264,2.333864,0.350024,0.411781
2.299247,1971859.580886,2.299247,0.348450,0.410690,2.347434,0.350632,0.412202
2.318390,1988276.081820,2.318390,0.349324,0.411297,2.366978,0.351499,0.412800
2.331764,1999746.426759,2.331764,0.349929,0.411716,2.380633,0.352099,0.413214
2.309671,1980799.388452,2.309671,0.348928,0.411022,2.358077,0.351105,0.412529
2.308362,1979676.478263,2.308362,0.348868,0.410980,2.356740,0.351046,0.412488
2.318323,1988219.419108,2.318323,0.349321,0.411295,2.366910,0.351496,0.412798
2.305898,1977563.250100,2.305898,0.348755,0.410902,2.354224,0.350934,0.412411
1.870285,1603976.919929,1.870285,0.325801,0.394527,1.909482,0.328148,0.396243
1.891755,1622389.596194,1.891755,0.327095,0.395474,1.931402,0.329433,0.397179
1.887344,1618606.348790,1.887344,0.326830,0.395281,1.926898,0.329171,0.396988
1.912317,1640023.651123,1.912317,0.328315,0.396365,1.952394,0.330646,0.398059
1.884744,1616377.001132,1.884744,0.326674,0.395167,1.924244,0.329016,0.396875
1.907928,1636259.532102,1.907928,0.328056,0.396176,1.947913,0.330389,0.397872
1.889598,1620539.394377,1.889598,0.326966,0.395380,1.929199,0.329305,0.397085
1.880773,1612971.264625,1.880773,0.326435,0.394992,1.920189,0.328778,0.396702
1.207239,1035341.332818,1.207239,0.296199,0.372017,1.232540,0.299213,0.374385
1.185881,1017024.601990,1.185881,0.294443,0.370629,1.210735,0.297476,0.373022
1.194550,1024458.763232,1.194550,0.295392,0.371379,1.219585,0.298421,0.373764
1.189460,1020093.720346,1.189460,0.294849,0.370950,1.214388,0.297880,0.373340
1.183196,1014721.467403,1.183196,0.294402,0.370596,1.207993,0.297441,0.372994
1.203807,1032398.267308,1.203807,0.296288,0.372086,1.229036,0.299312,0.374462
1.181369,1013154.532358,1.181369,0.293014,0.369494,1.206127,0.296029,0.371882
1.175124,1007799.495585,1.175124,0.293026,0.369503,1.199752,0.296056,0.371904
0.748713,642104.422908,0.748713,0.261812,0.343670,0.764404,0.265625,0.346939
0.757874,649961.346683,0.757874,0.263891,0.345457,0.773758,0.267719,0.348720
0.757697,649808.830727,0.757697,0.263885,0.345451,0.773576,0.267713,0.348715
0.754505,647072.097503,0.754505,0.262705,0.344439,0.770318,0.266515,0.347697
0.746106,639868.338284,0.746106,0.261633,0.343515,0.761742,0.265454,0.346793
0.750186,643367.406121,0.750186,0.262125,0.343939,0.765908,0.265940,0.347207
0.748059,641543.440102,0.748059,0.261705,0.343578,0.763736,0.265518,0.346848
0.751270,644297.596829,0.751270,0.262508,0.344269,0.767015,0.266328,0.347538
22.347944,19165839.962738,22.347944,0.478585,0.489058,22.816305,0.479006,0.489278
3.229428,2769592.554635,3.229428,0.381781,0.432966,3.297109,0.383643,0.434160
1.640833,1407196.574171,1.640833,0.311080,0.383538,1.675221,0.313521,0.385387
1.186145,1017251.015969,1.186145,0.292731,0.369269,1.211004,0.295727,0.371644
3.578187,3068692.458208,3.578187,0.390786,0.438698,3.653178,0.392547,0.439805
1.717091,1472595.904370,1.717091,0.316308,0.387486,1.753077,0.318719,0.389290
1.188808,1019534.925935,1.188808,0.293780,0.370102,1.213723,0.296791,0.372483
0.953266,817530.979264,0.953266,0.282274,0.360838,0.973244,0.285748,0.363664
0.856139,734233.956371,0.856139,0.273193,0.353331,0.874081,0.276819,0.356350
0.811406,695870.793371,0.811406,0.268676,0.349531,0.828411,0.272379,0.352649
0.768267,658874.181255,0.768267,0.263615,0.345219,0.784368,0.267381,0.348433
0.754920,647427.807488,0.754920,0.262864,0.344575,0.770742,0.266676,0.347834
0.749605,642869.414116,0.749605,0.262323,0.344110,0.765315,0.266147,0.347383
