CostArea(OptIndex), CostArea, SDI, Sorensen, Jaccard, SDI_a, Sorensen_a, Jaccard_a
1009534.651786,1009534.651786,0.845511,0.438345,0.528901,0.859387,0.445636,0.534159
1018943.816990,1018943.816990,0.853020,0.440106,0.530184,0.867013,0.447389,0.535421
1015843.472709,1015843.472709,0.850423,0.439249,0.529561,0.864374,0.446528,0.534802
1015774.225078,1015774.225078,0.850499,0.431997,0.524247,0.864453,0.439044,0.529387
1006468.186962,1006468.186962,0.841919,0.432992,0.524984,0.855720,0.440143,0.530192
1020535.099951,1020535.099951,0.853682,0.438359,0.528916,0.867675,0.445580,0.534125
1007350.368471,1007350.368471,0.844049,0.437791,0.528496,0.857907,0.445076,0.533754
835301.435119,835301.435119,0.693641,0.474435,0.554359,0.704929,0.484920,0.561445
829796.936334,829796.936334,0.689131,0.474487,0.554394,0.700346,0.485044,0.561528
834080.539503,834080.539503,0.692603,0.474896,0.554673,0.703873,0.485420,0.561779
829297.657749,829297.657749,0.688453,0.473635,0.553812,0.699653,0.484163,0.560939
845446.927656,845446.927656,0.703073,0.475031,0.554764,0.714530,0.485399,0.561761
833652.417862,833652.417862,0.692392,0.474887,0.554667,0.703661,0.485413,0.561774
843680.967675,843680.967675,0.701159,0.474817,0.554619,0.712578,0.485206,0.561633
829796.969889,829796.969889,0.689131,0.474487,0.554394,0.700346,0.485044,0.561528
750076.579421,750076.579421,0.616500,0.573429,0.616483,0.626429,0.590774,0.626411
750020.924873,750020.924873,0.616465,0.573366,0.616448,0.626393,0.590710,0.626375
750020.880982,750020.880982,0.616465,0.573366,0.616448,0.626393,0.590709,0.626375
750020.991332,750020.991332,0.616465,0.573366,0.616448,0.626393,0.590710,0.626375
750285.559196,750285.559196,0.616617,0.573637,0.616600,0.626547,0.590988,0.626529
750020.900811,750020.900811,0.616465,0.573366,0.616448,0.626393,0.590710,0.626375
750020.900700,750020.900700,0.616465,0.573366,0.616448,0.626393,0.590710,0.626375
749951.044391,749951.044391,0.616384,0.573222,0.616363,0.626310,0.590557,0.626288
739511.929737,739511.929737,0.607152,0.557568,0.607152,0.616920,0.574166,0.616920
739511.959736,739511.959736,0.607152,0.557569,0.607152,0.616920,0.574166,0.616920
739511.904417,739511.904417,0.607152,0.557568,0.607152,0.616920,0.574166,0.616920
739511.929138,739511.929138,0.607152,0.557568,0.607152,0.616920,0.574166,0.616920
739511.929748,739511.929748,0.607152,0.557568,0.607152,0.616920,0.574166,0.616920
739511.929093,739511.929093,0.607152,0.557568,0.607152,0.616920,0.574166,0.616920
739511.929738,739511.929738,0.607152,0.557568,0.607152,0.616920,0.574166,0.616920
739511.926926,739511.926926,0.607152,0.557568,0.607152,0.616920,0.574166,0.616920
739783.797793,739783.797793,0.607367,0.557932,0.607367,0.617138,0.574544,0.617138
739092.033234,739092.033234,0.606907,0.557140,0.606907,0.616671,0.573726,0.616671
739092.063520,739092.063520,0.606907,0.557140,0.606907,0.616671,0.573726,0.616671
739134.156923,739134.156923,0.606920,0.557166,0.606920,0.616684,0.573751,0.616684
739092.032643,739092.032643,0.606907,0.557140,0.606907,0.616671,0.573726,0.616671
739092.033252,739092.033252,0.606907,0.557140,0.606907,0.616671,0.573726,0.616671
739134.181758,739134.181758,0.606920,0.557166,0.606920,0.616684,0.573751,0.616684
739092.033087,739092.033087,0.606907,0.557140,0.606907,0.616671,0.573726,0.616671
739092.030386,739092.030386,0.606907,0.557140,0.606907,0.616671,0.573726,0.616671
739091.338422,739091.338422,0.606901,0.557132,0.606901,0.616666,0.573717,0.616666
739071.312133,739071.312133,0.606889,0.557110,0.606889,0.616653,0.573695,0.616653
739091.312863,739091.312863,0.606901,0.557132,0.606901,0.616666,0.573717,0.616666
739091.319190,739091.319190,0.606901,0.557132,0.606901,0.616666,0.573717,0.616666
739091.047893,739091.047893,0.606901,0.557132,0.606901,0.616666,0.573717,0.616666
739091.337779,739091.337779,0.606901,0.557132,0.606901,0.616666,0.573717,0.616666
739091.338381,739091.338381,0.606901,0.557132,0.606901,0.616666,0.573717,0.616666
739091.335585,739091.335585,0.606901,0.557132,0.606901,0.616666,0.573717,0.616666
741857.283002,741857.283002,0.609225,0.561054,0.609225,0.619027,0.577814,0.619027
740646.936148,740646.936148,0.608191,0.559309,0.608191,0.617977,0.575990,0.617977
739979.765704,739979.765704,0.607603,0.558319,0.607603,0.617378,0.574954,0.617378
739515.588172,739515.588172,0.607181,0.557613,0.607181,0.616949,0.574214,0.616949
796722.787521,796722.787521,0.655946,0.645593,0.655946,0.666528,0.666390,0.666528
775104.843560,775104.843560,0.637486,0.610828,0.637486,0.647760,0.629911,0.647760
758039.229356,758039.229356,0.623134,0.585036,0.623134,0.633171,0.602910,0.633171
749392.600582,749392.600582,0.615719,0.572132,0.615719,0.625631,0.589404,0.625631
744339.276255,744339.276255,0.611347,0.564655,0.611347,0.621186,0.581579,0.621186
741732.314313,741732.314313,0.609139,0.560906,0.609139,0.618940,0.577661,0.618940
740640.026463,740640.026463,0.608184,0.559297,0.608184,0.617970,0.575977,0.617970
739776.290084,739776.290084,0.607454,0.558065,0.607454,0.617227,0.574690,0.617227
739515.913203,739515.913203,0.607218,0.557670,0.607218,0.616987,0.574276,0.616987
739196.174620,739196.174620,0.606938,0.557200,0.606938,0.616702,0.573785,0.616702
739556.423546,739556.423546,0.607287,0.557782,0.607287,0.617058,0.574396,0.617058
739552.201540,739552.201540,0.607276,0.557765,0.607276,0.617047,0.574378,0.617047
739463.386972,739463.386972,0.607211,0.557654,0.607211,0.616981,0.574262,0.616981
739463.886601,739463.886601,0.607210,0.557653,0.607210,0.616980,0.574261,0.616980
739069.928488,739069.928488,0.606886,0.557106,0.606886,0.616651,0.573691,0.616651
739076.027597,739076.027597,0.606892,0.557117,0.606892,0.616657,0.573701,0.616657
738813.312175,738813.312175,0.606656,0.556721,0.606656,0.616417,0.573287,0.616417
739075.724806,739075.724806,0.606892,0.557116,0.606892,0.616657,0.573701,0.616657
739076.015937,739076.015937,0.606892,0.557117,0.606892,0.616657,0.573701,0.616657
739075.996660,739075.996660,0.606892,0.557117,0.606892,0.616657,0.573701,0.616657
739075.997262,739075.997262,0.606892,0.557117,0.606892,0.616657,0.573701,0.616657
739076.013087,739076.013087,0.606892,0.557117,0.606892,0.616657,0.573701,0.616657
758266.300255,758266.300255,0.623349,0.585413,0.623349,0.633390,0.603306,0.633390
748971.108766,748971.108766,0.615370,0.571530,0.615370,0.625277,0.588774,0.625277
744927.831165,744927.831165,0.611850,0.565510,0.611850,0.621697,0.582474,0.621697
741669.430289,741669.430289,0.609085,0.560816,0.609085,0.618886,0.577567,0.618886
784912.875560,784912.875560,0.645758,0.626180,0.645758,0.656168,0.646002,0.656168
764851.019570,764851.019570,0.628899,0.595266,0.628899,0.639032,0.613618,0.639032
752434.495090,752434.495090,0.618352,0.576680,0.618352,0.628309,0.594165,0.628309
745938.404602,745938.404602,0.612742,0.567029,0.612742,0.622604,0.584064,0.622604
742711.302024,742711.302024,0.609937,0.562262,0.609937,0.619751,0.579076,0.619751
741014.037749,741014.037749,0.608521,0.559863,0.608521,0.618313,0.576571,0.618313
740678.942646,740678.942646,0.608199,0.559325,0.608199,0.617984,0.576005,0.617984
740034.181447,740034.181447,0.607593,0.558310,0.607593,0.617367,0.574941,0.617367
739555.701956,739555.701956,0.607282,0.557774,0.607282,0.617053,0.574388,0.617053
739615.198180,739615.198180,0.607336,0.557865,0.607336,0.617108,0.574482,0.617108
738935.510460,738935.510460,0.606743,0.556869,0.606743,0.616504,0.573441,0.616504
739561.789795,739561.789795,0.607288,0.557784,0.607288,0.617059,0.574397,0.617059
739561.734484,739561.734484,0.607288,0.557784,0.607288,0.617058,0.574397,0.617058
739561.759213,739561.759213,0.607288,0.557784,0.607288,0.617058,0.574397,0.617058
739561.759816,739561.759816,0.607288,0.557784,0.607288,0.617058,0.574397,0.617058
739561.759138,739561.759138,0.607288,0.557784,0.607288,0.617058,0.574397,0.617058
739561.759666,739561.759666,0.607288,0.557784,0.607288,0.617058,0.574397,0.617058
739561.756983,739561.756983,0.607288,0.557784,0.607288,0.617058,0.574397,0.617058
2906424.977952,2906424.977952,2.474560,0.453736,0.539452,2.515822,0.456414,0.541317
739566.241306,739566.241306,0.607285,0.557781,0.607285,0.617056,0.574394,0.617056
739557.502768,739557.502768,0.607284,0.557778,0.607284,0.617055,0.574391,0.617055
739560.026621,739560.026621,0.607286,0.557781,0.607286,0.617057,0.574395,0.617057
739562.988881,739562.988881,0.607283,0.557776,0.607283,0.617053,0.574389,0.617053
739571.905269,739571.905269,0.607290,0.557788,0.607290,0.617061,0.574402,0.617061
739559.010723,739559.010723,0.607285,0.557780,0.607285,0.617056,0.574393,0.617056
739560.540753,739560.540753,0.607287,0.557782,0.607287,0.617057,0.574396,0.617057
738935.054120,738935.054120,0.606742,0.556869,0.606742,0.616504,0.573440,0.616504
738908.577123,738908.577123,0.606722,0.556833,0.606722,0.616483,0.573403,0.616483
738935.028428,738935.028428,0.606742,0.556869,0.606742,0.616504,0.573440,0.616504
739561.305996,739561.305996,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.306600,739561.306600,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.305922,739561.305922,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.359644,739561.359644,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.303766,739561.303766,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
748587.457360,748587.457360,0.615096,0.571053,0.615096,0.624999,0.588280,0.624999
739550.608259,739550.608259,0.607278,0.557767,0.607278,0.617048,0.574380,0.617048
739561.319028,739561.319028,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
738935.060276,738935.060276,0.606743,0.556869,0.606743,0.616504,0.573440,0.616504
739561.784397,739561.784397,0.607288,0.557784,0.607288,0.617059,0.574397,0.617059
739561.984951,739561.984951,0.607288,0.557784,0.607288,0.617059,0.574398,0.617059
739561.913980,739561.913980,0.607288,0.557784,0.607288,0.617059,0.574398,0.617059
738935.074808,738935.074808,0.606743,0.556869,0.606743,0.616504,0.573440,0.616504
739561.458433,739561.458433,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.382509,739561.382509,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.344546,739561.344546,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.325564,739561.325564,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.316074,739561.316074,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.311329,739561.311329,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.308956,739561.308956,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.307768,739561.307768,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
738935.040346,738935.040346,0.606742,0.556869,0.606742,0.616504,0.573440,0.616504
739561.337171,739561.337171,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.281861,739561.281861,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.306591,739561.306591,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.307193,739561.307193,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.306516,739561.306516,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.307043,739561.307043,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739561.304360,739561.304360,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
739714.151751,739714.151751,0.608320,0.555639,0.606042,0.618123,0.572109,0.615753
739561.307177,739561.307177,0.607287,0.557783,0.607287,0.617058,0.574397,0.617058
